,OverallQual,OverallCond,SaleCondition,SaleType,MSSubClass,MSZoning,Neighborhood,HouseStyle
128,6,5,0,0,0,0,11,0
129,5,7,1,0,1,0,11,1
130,7,6,0,0,0,0,11,0
131,6,5,0,0,0,0,17,0
132,5,6,0,0,1,0,11,1
133,8,5,0,0,1,0,16,1
134,5,6,0,0,1,0,9,1
135,7,6,0,0,1,0,6,1
136,5,5,0,0,1,0,11,1
137,7,5,5,0,6,0,4,1
138,8,5,0,0,0,0,0,0
139,6,5,0,0,0,0,0,0
140,4,5,0,4,1,0,11,1
141,7,5,0,0,1,0,0,1
142,5,4,0,0,3,0,11,2
143,7,5,0,0,1,0,0,1
144,5,5,1,4,6,1,9,1
145,6,5,0,0,11,1,15,0
146,5,7,0,0,8,1,8,1
147,7,5,0,0,0,0,17,0
148,7,5,0,0,1,0,12,1
149,5,4,0,0,3,1,8,2
150,5,6,0,0,1,0,0,1
151,8,5,2,1,1,0,10,1
152,6,5,0,0,0,0,6,0
153,6,7,0,0,1,0,19,1
154,6,5,5,0,8,1,7,1
155,6,5,0,0,3,0,15,2
156,5,7,0,0,1,0,11,1
157,8,5,2,1,0,0,16,0
158,7,5,0,0,0,3,5,0
159,7,5,2,1,0,0,17,0
160,6,6,0,0,1,0,1,1
161,9,5,0,0,0,0,10,0
162,7,5,2,1,1,0,10,1
163,4,6,0,0,5,0,7,3
164,6,7,0,0,14,1,7,1
165,5,7,0,0,4,0,15,2
166,5,5,0,2,1,0,19,1
167,8,5,2,1,0,0,10,0
168,7,5,0,0,0,0,17,0
169,8,6,0,0,1,0,16,1
170,5,6,0,0,3,1,7,2
171,6,5,0,0,1,0,11,1
172,7,7,0,0,11,0,18,0
173,6,5,0,2,1,0,11,1
174,6,5,0,0,1,0,16,1
175,6,7,0,0,1,0,15,1
176,6,5,0,0,0,0,19,0
177,5,5,0,0,3,0,9,2
178,9,5,2,1,1,0,18,1
179,5,6,0,0,8,1,7,1
180,6,5,0,0,11,3,5,0
181,7,6,0,0,2,0,2,0
182,5,6,0,0,1,0,15,1
183,7,5,0,0,3,1,7,2
184,5,8,0,0,3,0,8,2
185,10,9,0,0,12,1,7,7
186,7,5,0,0,10,0,4,5
187,5,7,0,0,3,0,7,2
188,5,5,4,0,6,0,12,4
189,8,5,0,0,7,0,18,1
190,8,8,0,0,2,0,2,0
191,7,9,0,0,0,0,11,0
192,7,5,0,0,1,0,0,1
193,7,5,0,0,11,1,15,0
194,5,7,0,0,1,0,0,1
195,6,6,0,0,11,0,20,0
196,7,5,2,1,1,0,5,1
197,8,4,1,0,12,0,11,0
198,6,6,1,0,12,1,7,7
199,8,5,0,0,1,0,10,1
200,4,5,0,0,1,1,15,1
201,6,6,0,0,1,0,4,1
202,6,6,0,2,3,0,7,2
203,6,5,0,0,7,1,0,1
204,5,7,0,0,3,1,7,2
205,7,5,0,0,1,0,17,1
206,5,5,0,0,1,0,9,1
207,4,5,0,0,1,0,11,1
208,7,5,0,0,0,0,12,0
209,6,7,0,0,1,0,11,1
210,5,6,0,0,8,0,15,1
211,6,5,0,0,1,0,15,1
212,7,5,2,1,0,3,5,0
213,5,5,0,0,1,0,0,1
214,6,7,0,0,0,0,0,0
215,5,6,0,0,1,0,11,1
216,7,5,0,0,1,0,0,1
217,4,4,5,0,2,1,7,0
218,7,9,0,0,3,0,2,2
219,7,5,2,1,7,0,21,1
220,7,5,2,1,1,0,0,1
221,6,5,0,4,0,0,17,0
222,6,6,0,0,0,0,6,0
223,4,6,1,0,1,0,11,1
224,10,5,0,0,1,0,10,1
225,5,5,1,2,11,1,22,0
226,7,5,1,0,0,0,3,0
227,6,6,0,0,11,1,22,0
228,5,5,0,0,1,0,9,1
229,7,5,0,0,7,0,21,1
230,6,6,0,0,1,0,11,1
231,8,5,0,0,0,0,3,0
232,6,5,0,0,11,1,22,0
233,5,6,0,0,1,0,0,1
234,6,5,0,0,0,0,17,0
235,6,3,0,0,11,1,22,0
236,7,5,0,0,1,0,0,1
237,7,7,0,0,0,0,12,0
238,8,5,2,1,1,0,10,1
239,6,4,0,0,3,0,15,2
240,8,5,0,0,1,3,5,1
241,5,9,0,0,8,1,7,1
242,5,4,0,0,3,1,7,2
243,6,6,0,0,11,0,12,0
244,7,5,0,0,0,0,12,0
245,7,5,0,0,1,0,6,1
246,6,8,0,0,4,1,7,0
247,6,5,0,0,1,0,11,1
248,7,5,0,0,0,0,0,0
249,6,7,0,0,3,0,19,2
250,3,2,0,0,8,0,8,1
251,8,5,5,0,7,1,2,1
252,6,5,0,0,0,0,12,0
253,6,7,0,5,10,0,11,5
254,5,6,0,0,1,0,11,1
255,7,5,0,0,0,0,17,0
256,6,5,0,0,0,3,5,0
257,7,5,1,0,1,0,0,1
258,7,5,0,0,0,0,0,0
259,5,5,0,0,1,1,7,1
260,6,5,0,0,10,0,11,5
261,8,5,2,1,0,0,0,0
262,6,7,0,0,10,0,9,5
263,5,7,0,0,3,1,7,2
264,5,5,0,0,8,1,7,1
265,6,6,0,0,1,0,6,1
266,6,5,0,0,0,0,17,0
267,5,8,0,0,12,0,23,7
268,5,6,0,0,8,1,13,1
269,6,7,0,0,1,0,15,1
270,8,5,2,1,0,3,5,0
271,7,7,0,0,1,0,19,1
272,8,7,0,0,0,0,3,0
273,6,6,0,0,1,0,11,1
274,5,7,0,0,1,0,4,1
275,7,7,0,0,3,0,8,2
276,7,5,0,0,1,0,4,1
277,4,5,0,0,1,0,17,1
278,9,5,2,1,1,0,10,1
279,7,5,0,0,0,0,19,0
280,7,6,0,0,0,0,12,0
281,6,5,2,1,1,3,5,1
282,7,5,0,6,7,0,10,1
283,8,5,2,1,1,0,5,1
284,6,5,0,0,7,0,12,1
285,7,5,2,1,11,3,5,0
286,6,7,0,0,3,0,11,2
287,4,4,0,0,1,0,11,1
288,5,5,0,0,1,0,9,1
289,6,7,0,0,2,0,8,0
290,8,5,2,1,0,0,0,0
291,5,6,0,0,4,0,23,0
292,5,4,0,0,3,0,15,2
293,7,7,0,0,0,0,6,0
294,6,5,0,0,1,0,11,1
295,6,6,0,0,10,0,4,5
296,5,5,0,0,3,1,13,2
297,7,5,0,0,0,3,5,0
298,6,6,0,0,0,0,6,0
299,6,8,5,0,1,0,2,1
300,5,5,0,0,4,0,2,1
301,8,5,0,0,0,0,0,0
302,7,5,0,0,1,0,0,1
303,5,7,1,0,1,0,0,1
304,7,9,0,0,12,1,7,7
305,8,5,0,0,1,0,0,1
306,7,5,0,0,0,0,12,0
307,6,7,0,0,3,1,13,2
308,4,5,0,0,8,0,15,1
309,9,5,0,0,1,0,10,1
310,6,5,0,0,0,0,17,0
311,6,6,0,0,1,0,11,1
312,5,7,0,0,4,1,7,2
313,7,5,0,0,1,0,16,1
314,7,7,0,0,2,1,7,0
315,7,5,0,0,0,0,17,0
316,7,7,0,0,0,0,6,0
317,8,5,0,0,0,3,5,0
318,7,5,0,0,0,0,3,0
319,7,5,0,0,10,0,6,5
320,9,5,2,1,0,0,10,0
321,8,5,0,0,0,0,10,0
322,7,5,0,0,0,0,12,0
323,3,8,0,0,1,1,7,1
324,7,7,0,0,10,0,11,5
325,5,6,0,0,5,1,13,3
326,8,5,0,7,7,0,1,1
327,6,5,0,0,1,0,11,1
328,6,6,0,0,12,0,8,6
329,5,5,0,0,2,1,13,0
330,5,4,0,0,6,0,11,1
331,5,6,0,0,1,0,11,1
332,8,5,0,0,1,0,10,1
333,7,5,0,0,7,1,10,1
334,6,5,0,0,0,0,17,0
335,5,6,0,0,4,0,16,2
336,9,5,0,0,1,0,18,1
337,7,5,0,0,1,0,0,1
338,7,7,0,0,1,0,6,1
339,6,7,0,0,1,0,11,1
340,8,5,0,0,0,0,16,0
341,4,4,0,0,1,4,12,1
342,3,4,0,0,6,0,11,1
343,9,5,0,0,7,0,10,1
344,5,3,0,0,11,1,14,0
345,6,5,0,0,3,0,8,2
346,6,8,0,0,1,0,11,1
347,6,5,0,0,1,0,11,1
348,7,5,0,0,11,0,10,0
349,9,5,2,1,0,0,10,0
350,9,5,2,1,7,0,10,1
351,7,5,1,0,7,0,19,1
352,5,6,0,6,3,0,15,2
353,6,8,0,0,8,1,7,1
354,6,5,0,0,3,0,23,2
355,6,5,0,0,1,0,0,1
356,6,6,0,0,1,0,17,1
357,5,5,0,0,7,1,14,1
358,5,4,1,0,10,0,19,5
359,8,5,0,0,0,0,3,0
360,6,6,0,0,9,0,4,4
361,5,5,0,0,3,0,8,2
362,7,5,0,3,9,0,15,4
363,6,8,0,0,11,1,22,0
364,6,5,0,0,0,0,6,0
365,5,7,0,0,2,1,13,0
366,6,5,0,0,1,0,11,1
367,6,5,0,0,10,0,11,5
368,5,6,0,0,1,0,11,1
369,5,7,0,0,1,0,11,1
370,6,5,0,0,0,0,17,0
371,4,4,0,0,3,0,19,2
372,6,5,0,0,7,0,12,1
373,5,6,0,0,1,0,11,1
374,7,5,0,0,0,0,0,0
375,1,1,0,0,8,0,15,1
376,5,5,0,0,9,0,0,4
377,8,5,0,0,0,3,5,0
378,9,2,2,1,1,0,18,1
379,6,5,0,0,0,0,17,0
380,5,6,0,0,3,0,23,2
381,7,5,2,1,1,3,5,1
382,7,5,0,0,0,0,0,0
383,6,3,0,0,5,4,12,3
384,6,5,0,0,0,0,19,0
385,8,5,0,0,7,0,21,1
386,5,3,3,0,3,0,15,2
387,6,6,1,0,10,0,15,5
388,7,5,0,0,1,0,0,1
389,10,5,2,1,0,0,10,0
390,5,8,0,0,3,0,15,2
391,6,5,0,0,0,0,4,0
392,5,7,0,0,1,0,11,1
393,4,5,1,0,8,0,8,1
394,5,6,0,0,3,0,7,2
395,5,6,0,0,1,0,15,1
396,5,5,0,0,1,0,0,1
397,5,5,0,0,0,0,11,0
398,5,2,1,0,8,1,13,1
399,7,5,0,0,0,3,5,0
400,8,5,0,0,7,0,1,1
401,7,5,2,1,1,0,0,1
402,5,8,0,0,8,0,9,1
403,8,5,1,0,0,0,3,0
404,6,5,0,0,0,0,17,0
405,4,4,0,0,1,0,9,1
406,6,5,0,0,3,0,23,2
407,6,7,0,0,2,0,2,0
408,7,5,2,1,0,0,10,0
409,8,5,2,1,0,3,5,0
410,5,3,1,2,1,0,15,1
411,5,5,0,0,4,0,17,1
412,7,5,2,1,1,3,5,1
413,5,6,0,0,8,1,7,1
414,7,5,0,0,0,0,12,0
415,7,5,2,1,1,0,17,1
416,6,7,0,0,0,0,9,0
417,6,6,0,0,2,0,2,0
418,5,6,3,0,3,0,15,2
419,5,6,0,0,1,0,11,1
420,7,5,4,0,6,1,4,4
421,6,7,0,0,1,0,6,1
422,5,5,0,0,1,0,4,1
423,8,5,0,0,0,0,3,0
424,6,5,0,0,1,0,11,1
425,7,8,0,0,0,1,7,0
426,7,5,0,0,10,0,12,5
427,4,6,0,0,1,0,11,1
428,7,5,2,1,1,0,0,1
429,6,5,0,0,1,0,16,1
430,6,5,1,2,11,1,22,0
431,6,7,1,3,3,1,7,2
432,5,5,0,0,11,1,22,0
433,6,5,0,0,0,0,17,0
434,4,7,0,0,13,1,14,4
435,7,6,0,6,0,0,0,0
436,6,8,0,0,3,1,7,2
437,6,7,0,0,5,1,8,3
438,5,6,0,0,8,0,2,1
439,6,8,0,4,3,0,15,2
440,10,5,0,0,1,0,10,1
441,4,4,0,0,6,0,15,1
442,5,7,0,0,3,1,8,2
443,7,5,2,1,7,0,21,1
444,7,5,0,0,0,0,0,0
445,6,5,0,2,1,0,15,1
446,6,6,0,0,1,0,11,1
447,7,5,0,0,0,0,17,0
448,6,6,0,0,3,1,13,2
449,3,7,0,0,3,1,7,2
450,6,8,0,0,8,1,7,1
451,7,5,0,0,1,0,19,1
452,6,5,0,0,0,0,16,0
453,8,5,0,0,0,3,5,0
454,5,5,5,0,6,0,4,1
455,7,6,0,0,1,0,6,1
456,5,5,1,2,2,1,7,0
457,4,6,0,0,1,0,19,1
458,8,7,0,0,2,1,7,0
459,5,4,0,0,3,0,8,2
460,8,5,2,1,0,3,5,0
461,7,9,0,0,2,0,23,0
462,5,5,0,0,1,0,9,1
463,6,7,0,0,2,0,2,0
464,5,5,0,0,1,0,0,1
465,7,5,0,0,7,1,21,1
466,7,5,0,0,1,0,11,1
467,5,7,0,0,2,0,11,0
468,8,5,0,0,1,0,10,1
469,6,5,0,0,0,0,12,0
470,8,5,0,0,7,0,18,1
471,7,6,0,0,0,0,6,0
472,6,5,0,0,13,1,15,5
473,8,5,2,1,1,0,10,1
474,8,5,0,0,7,0,18,1
475,5,6,0,0,1,0,9,1
476,6,5,0,0,1,0,0,1
477,9,5,0,0,0,0,10,0
478,8,5,0,0,1,0,0,1
479,4,7,4,0,8,1,7,1
480,9,5,0,0,1,0,10,1
481,9,5,0,0,1,0,10,1
482,7,8,0,0,2,1,7,0
483,6,5,0,0,7,1,4,1
484,5,7,0,0,1,0,9,1
485,5,7,0,0,1,0,11,1
486,5,7,0,0,1,0,11,1
487,5,6,0,0,1,0,6,1
488,5,4,0,3,4,0,7,2
489,4,8,0,0,13,1,14,4
490,5,6,0,0,11,1,14,0
491,6,7,0,0,3,0,11,2
492,6,5,2,1,0,0,17,0
493,5,6,0,0,1,0,11,1
494,5,8,0,0,8,1,7,1
495,4,5,1,0,8,2,13,1
496,8,5,0,0,1,0,3,1
497,7,6,0,0,3,0,8,2
498,5,7,0,0,1,0,9,1
499,5,7,0,0,1,0,11,1
500,6,5,0,0,11,1,22,0
501,7,5,0,0,0,3,5,0
502,5,7,0,0,1,0,15,1
503,7,8,0,0,1,0,2,1
504,6,5,0,0,11,0,20,0
505,5,5,0,2,6,1,7,0
506,8,5,0,0,0,0,12,0
507,6,5,2,1,1,3,5,1
508,7,9,0,0,2,1,7,0
509,5,6,0,0,1,0,11,1
510,5,7,0,0,1,0,11,1
511,7,5,2,1,7,0,10,1
512,5,5,0,0,1,0,11,1
513,6,5,0,0,1,0,4,1
514,5,5,0,0,5,0,2,3
515,10,5,2,1,1,0,10,1
516,6,6,1,2,10,0,6,5
517,7,5,0,0,0,0,3,0
518,6,5,0,0,0,0,0,0
519,7,9,0,0,2,0,2,0
520,4,7,0,0,4,0,7,0
521,6,6,0,0,1,0,11,1
522,6,7,0,0,3,1,8,2
523,10,5,2,1,0,0,15,0
524,7,5,0,0,0,0,3,0
525,7,5,0,0,1,3,5,1
526,5,7,0,0,1,0,11,1
527,9,5,2,1,0,0,10,0
528,4,7,0,0,8,0,15,1
529,6,3,4,0,1,0,2,1
530,6,5,1,0,10,0,16,5
531,6,8,0,0,2,1,8,0
532,5,7,0,0,1,0,11,1
533,1,3,0,0,1,0,8,1
534,8,5,0,0,0,0,17,0
535,5,7,0,0,4,0,15,0
536,7,5,0,0,0,0,0,0
537,4,5,0,2,1,0,11,1
538,5,5,0,0,1,0,9,1
539,8,5,0,0,1,0,0,1
540,9,5,0,0,1,0,16,1
541,8,5,0,0,0,0,3,0
542,7,5,0,0,1,0,6,1
543,7,5,0,0,7,4,11,4
544,7,5,2,1,0,0,17,0
545,7,5,0,0,3,0,6,2
546,6,7,0,0,3,0,8,2
547,5,7,0,0,9,0,4,4
548,5,7,0,0,1,1,7,1
549,7,5,0,0,0,3,5,0
550,6,6,1,2,7,0,20,1
551,5,6,0,0,1,1,7,1
552,8,5,0,0,1,0,10,1
553,4,5,0,0,1,0,15,1
554,7,5,0,0,0,0,10,0
555,5,6,0,0,5,1,8,3
556,5,5,0,0,1,0,11,1
557,4,6,0,2,3,2,13,2
558,7,5,0,0,0,0,17,0
559,7,5,0,0,7,0,21,1
560,5,6,0,0,1,0,9,1
561,5,5,0,0,1,0,4,1
562,5,6,0,0,8,0,15,1
563,6,7,0,0,3,0,15,2
564,7,5,0,0,0,0,3,0
565,6,4,0,0,2,0,23,0
566,9,5,0,0,0,0,18,0
567,7,5,0,0,1,0,10,1
568,8,8,0,0,3,0,12,2
569,5,5,0,0,6,0,11,4
570,5,5,0,0,6,0,11,1
571,6,6,1,0,1,0,11,1
572,7,5,2,1,0,0,16,0
573,7,5,0,0,10,0,17,5
574,5,7,0,0,10,0,11,5
575,5,5,1,2,3,0,11,2
576,7,7,0,0,3,0,23,2
577,5,6,1,0,10,0,9,5
578,7,5,1,0,11,3,5,0
579,5,5,0,0,3,1,7,2
580,6,6,0,0,1,0,11,1
581,8,5,2,1,1,0,10,1
582,6,5,0,0,6,0,15,4
583,10,9,0,0,12,1,7,6
584,4,7,0,0,3,1,8,2
585,8,5,2,1,1,0,16,1
586,6,7,0,0,8,0,8,1
587,5,6,0,0,9,0,9,4
588,5,8,2,0,1,0,19,1
589,5,6,0,0,14,1,8,1
590,7,5,0,0,0,0,0,0
591,10,5,0,4,0,0,10,0
592,5,8,0,0,1,0,4,1
593,6,5,0,0,7,1,0,1
594,5,6,0,0,1,0,0,1
595,8,5,2,1,1,0,18,1
596,6,7,0,0,2,1,7,0
597,7,5,2,1,7,0,21,1
598,5,6,0,0,1,0,2,1
599,6,6,0,2,11,1,24,0
600,8,5,0,0,0,0,10,0
601,6,6,0,0,3,1,13,2
602,8,5,1,0,0,0,12,0
603,7,5,0,0,11,3,5,0
604,7,5,0,0,1,0,0,1
605,7,6,0,0,0,0,11,0
606,5,5,0,0,1,0,0,1
607,5,8,0,0,1,0,15,0
608,8,6,4,0,2,0,2,0
609,4,5,0,0,1,0,9,1
610,9,5,0,0,0,0,0,0
611,6,6,0,0,10,0,6,5
612,8,5,0,0,0,0,0,0
613,5,5,2,1,1,0,4,1
614,4,6,0,0,13,1,14,4
615,6,7,1,0,9,0,11,4
616,6,5,0,0,0,0,17,0
617,6,6,0,0,5,0,11,3
618,9,5,2,1,1,0,10,1
619,8,5,0,0,0,0,16,0
620,3,3,0,0,8,0,15,1
621,6,7,0,0,0,0,6,0
622,5,6,0,0,1,0,9,1
623,6,5,0,0,11,3,5,0
624,6,5,0,0,0,0,6,0
625,6,6,0,0,1,0,11,1
626,5,5,0,0,1,0,11,1
627,6,6,0,0,10,0,11,5
628,5,5,5,0,0,0,11,0
629,6,5,0,0,10,0,11,5
630,5,6,1,0,2,1,7,0
631,8,5,0,0,7,0,10,1
632,7,5,5,0,1,0,6,1
633,5,7,0,0,1,0,11,1
634,6,5,0,0,6,0,7,4
635,6,7,1,0,4,4,23,7
636,2,3,0,6,8,1,8,1
637,5,4,0,0,4,1,7,2
638,5,7,0,0,8,0,15,1
639,8,5,2,1,7,0,21,1
640,8,5,0,0,7,0,10,1
641,7,5,0,0,0,3,5,0
642,8,7,0,0,10,0,11,5
643,5,5,0,0,0,0,6,0
644,9,5,2,1,1,3,5,1
645,6,5,0,0,1,0,11,1
646,5,5,0,0,1,0,11,1
647,6,5,0,0,1,0,15,1
648,6,5,0,0,0,0,11,0
649,4,6,0,0,13,1,14,4
650,7,6,0,0,0,3,5,0
651,4,5,0,0,2,0,15,0
652,7,5,0,0,0,0,0,0
653,6,7,0,0,3,1,13,2
654,8,6,0,0,1,0,3,1
655,6,5,5,0,11,1,22,0
656,5,7,0,0,1,0,11,1
657,7,6,0,0,2,0,2,0
658,6,5,1,0,3,0,11,2
659,5,7,0,0,1,0,15,1
660,7,7,0,0,0,0,6,0
661,8,7,0,0,0,0,3,0
662,6,3,0,0,1,0,11,1
663,4,5,0,0,9,0,15,4
664,8,5,2,1,1,0,5,1
665,8,5,0,0,0,0,17,0
666,6,5,1,0,0,0,11,0
667,6,5,0,0,1,0,12,1
668,5,6,0,0,1,0,9,1
669,4,5,0,0,8,0,2,1
670,6,5,0,0,0,0,0,0
671,6,6,0,0,2,4,15,0
672,6,6,0,0,1,0,1,1
673,6,7,0,0,1,0,2,1
674,6,6,0,0,1,0,11,1
675,6,6,0,0,11,0,20,0
676,4,2,0,0,2,1,7,0
677,5,8,0,0,8,0,7,1
678,8,5,2,1,1,0,18,1
679,5,5,0,0,1,0,9,1
680,6,5,0,0,7,0,12,1
681,5,5,1,0,3,4,23,2
682,6,5,0,0,7,0,19,1
683,9,5,0,0,1,0,0,1
684,7,5,0,0,0,0,3,0
685,7,5,0,0,11,0,18,0
686,7,6,2,1,0,3,5,0
687,7,5,0,0,11,3,5,0
688,8,6,2,1,1,0,18,1
689,6,5,0,0,7,0,10,1
690,6,5,0,0,7,1,0,1
691,10,6,0,0,0,0,3,0
692,7,5,0,0,0,0,16,0
693,5,6,1,0,8,0,7,1
694,5,6,0,0,3,1,8,2
695,6,6,0,0,1,0,16,1
696,5,7,0,0,8,1,8,1
697,5,7,0,0,1,0,15,1
698,5,8,0,0,1,0,9,1
699,7,5,0,0,7,3,5,1
700,8,5,0,0,1,0,16,1
701,7,5,0,2,1,0,6,1
702,8,5,2,1,0,0,18,0
703,5,9,0,0,4,1,7,0
704,7,5,0,0,1,0,0,1
705,4,5,0,0,4,1,13,0
706,7,5,0,0,1,0,19,1
707,8,5,0,0,7,0,10,1
708,7,5,2,1,0,0,17,0
709,5,7,1,0,1,0,9,1
710,3,6,0,0,8,0,8,1
711,4,7,1,0,3,2,13,2
712,8,5,0,0,7,0,18,1
713,4,5,0,0,4,0,8,1
714,6,8,0,0,0,0,9,0
715,6,5,0,0,1,0,6,1
716,7,8,0,0,2,1,7,0
717,5,6,0,0,1,0,6,1
718,7,5,0,0,0,0,3,0
719,5,6,0,0,1,0,0,1
720,8,5,0,0,7,0,18,1
721,6,5,0,0,7,1,0,1
722,4,7,0,0,1,0,11,1
723,4,6,0,0,3,0,15,2
724,9,5,0,0,1,0,15,1
725,4,6,0,0,1,0,11,1
726,6,9,0,0,1,0,2,1
727,7,5,0,0,1,0,0,1
728,5,5,1,2,6,0,11,1
729,4,5,0,0,8,1,13,2
730,8,5,0,0,7,0,18,1
731,7,5,0,0,10,0,16,5
732,7,5,0,0,0,0,0,0
733,5,6,0,0,1,0,9,1
734,5,5,5,0,1,0,9,1
735,7,7,0,0,12,1,7,6
736,3,4,0,0,6,0,11,1
737,8,5,0,0,0,0,17,0
738,5,5,4,0,6,0,15,1
739,7,5,0,0,0,0,0,0
740,5,7,1,0,2,1,7,0
741,6,8,0,0,1,0,9,1
742,7,5,0,0,1,0,12,1
743,5,6,0,0,10,0,9,5
744,8,5,0,0,7,0,18,1
745,8,9,0,0,0,0,6,0
746,7,5,0,0,0,0,17,0
747,7,7,0,0,2,1,7,0
748,7,5,0,0,1,0,3,1
749,4,3,0,0,3,0,15,2
750,4,7,0,0,3,1,7,2
751,7,5,0,0,0,0,17,0
752,6,5,0,0,1,0,0,1
753,8,5,0,0,0,0,10,0
754,6,8,0,0,1,0,11,1
755,6,5,0,0,11,3,5,0
756,8,5,0,0,0,0,0,0
757,6,5,1,0,0,0,9,0
758,7,5,0,0,11,3,5,0
759,8,5,0,0,0,0,3,0
760,6,6,0,0,1,0,11,1
761,5,5,0,0,8,1,8,1
762,7,5,0,7,0,3,5,0
763,8,5,0,0,0,0,3,0
764,8,5,0,0,7,0,1,1
765,9,5,2,1,1,0,5,1
766,7,5,0,0,0,0,6,0
767,6,7,0,0,3,0,4,2
768,7,5,0,0,1,0,0,1
769,8,5,0,0,0,0,18,0
770,5,5,0,0,9,0,9,4
771,4,5,0,2,1,0,15,1
